iter	Logloss
0	0.683378849
1	0.672163868
2	0.659365921
3	0.6497991467
4	0.6409274006
5	0.6308373833
6	0.6210996819
7	0.6124729252
8	0.6051948071
9	0.6002688503
10	0.5937297916
11	0.586922121
12	0.5797853184
13	0.5741596508
14	0.5691539669
15	0.5649878311
16	0.5599698067
17	0.5562184429
18	0.5515328217
19	0.5473819542
20	0.5439348316
21	0.539017868
22	0.5363308716
23	0.5330420876
24	0.530305872
25	0.5274626446
26	0.523616333
27	0.5208833122
28	0.5176275349
29	0.5148426247
30	0.5105345249
31	0.5070808506
32	0.5051845837
33	0.5019735336
34	0.499922266
35	0.4979345512
36	0.4961003304
37	0.493808794
38	0.4916494179
39	0.4903189087
40	0.4878528786
41	0.4861368561
42	0.4846702957
43	0.4835187912
44	0.4825462055
45	0.4806244373
46	0.4785951614
47	0.4776082611
48	0.4756489658
49	0.4746322823
50	0.4736027527
51	0.4723588085
52	0.4716812706
53	0.4701183128
54	0.4688233662
55	0.4678243923
56	0.4665806484
57	0.4650662804
58	0.4641283512
59	0.4634048939
60	0.4622126675
61	0.4612667561
62	0.4604787159
63	0.4586487484
64	0.4578941822
65	0.4566881752
66	0.4556922722
67	0.4545043945
68	0.4534915829
69	0.4530672741
70	0.4521768856
71	0.4510123825
72	0.4505344296
73	0.4497062111
74	0.4489990616
75	0.4485080338
76	0.4476820564
77	0.4473493195
78	0.4469547939
79	0.4465903664
80	0.4461667442
81	0.4458700466
82	0.4455163956
83	0.4448681068
84	0.4444900513
85	0.4442359543
86	0.4438807297
87	0.4428910828
88	0.4423141479
89	0.4420261478
90	0.4416497898
91	0.4411415291
92	0.4408365917
93	0.4406504536
94	0.440127182
95	0.4397645855
96	0.4394640064
97	0.4391574669
98	0.4384976387
99	0.4381916523
100	0.4379326248
101	0.4377361107
102	0.4374255466
103	0.4366809177
104	0.4364074135
105	0.4359003639
106	0.4355071163
107	0.4352980232
108	0.4348068523
109	0.4345009518
110	0.4340574265
111	0.4338942146
112	0.4336205387
113	0.4334414673
114	0.4331059647
115	0.4323766422
116	0.4321316242
117	0.4318342686
118	0.4315690804
119	0.4313337231
120	0.4305919266
121	0.4303477001
122	0.4300172997
123	0.4297188377
124	0.4291665745
125	0.4289723396
126	0.4286757374
127	0.4284663391
128	0.4280208874
129	0.4276808929
130	0.4274872684
131	0.427295351
132	0.42679636
133	0.4264891243
134	0.4263532448
135	0.426111784
136	0.4259089661
137	0.4256516171
138	0.425403595
139	0.4249524212
140	0.4244543839
141	0.4242613506
142	0.4238636589
143	0.4236820221
144	0.4234811687
145	0.4233442688
146	0.4231039143
147	0.4229050064
148	0.422353096
149	0.4220236111
150	0.4216702366
151	0.4214981079
152	0.4214012432
153	0.4212650108
154	0.4209567928
155	0.4208089352
156	0.4205051041
157	0.4199910164
158	0.4195983887
159	0.4194512463
160	0.4192394972
161	0.4190778303
162	0.4189592791
163	0.4186700296
164	0.4184284306
165	0.4182831907
166	0.4180911636
167	0.4179123735
168	0.4176851273
169	0.4173129416
170	0.416923666
171	0.4167416382
172	0.4166337395
173	0.4164466763
174	0.4162901783
175	0.4161640739
176	0.4159852123
177	0.4158657455
178	0.4156259394
179	0.4155058289
180	0.4153799009
181	0.4152624893
182	0.4151162672
183	0.4148916149
184	0.4147328615
185	0.4143759251
186	0.4141685581
187	0.4139834785
188	0.4137361479
189	0.4132462215
190	0.4130020618
191	0.4127490568
192	0.4125617409
193	0.4123248768
194	0.4120139837
195	0.4118591404
196	0.4117012596
197	0.4115829563
198	0.4113871765
199	0.4112180805
200	0.4110920715
201	0.4109439373
202	0.4108269119
203	0.4106476879
204	0.4105027771
205	0.4103430653
206	0.410011816
207	0.4098137188
208	0.4097712612
209	0.4097135162
210	0.4095583391
211	0.4091580391
212	0.4090244675
213	0.4088514519
214	0.408551774
215	0.4084914112
216	0.4081651735
217	0.4080330944
218	0.4078087807
219	0.4076095772
220	0.4073741055
221	0.4071956205
222	0.4069628668
223	0.4067658997
224	0.4064931965
225	0.4062605095
226	0.4060027027
227	0.4057276535
228	0.4054994535
229	0.4053739119
230	0.4052405214
231	0.4050524855
232	0.4048876476
233	0.404642787
234	0.404470396
235	0.4042313862
236	0.4040338326
237	0.4038335991
238	0.4037268353
239	0.4033291578
240	0.4031815386
241	0.4028467607
242	0.4027039528
243	0.4023638916
244	0.4023129082
245	0.4021831942
246	0.402053442
247	0.4019343281
248	0.4018011141
249	0.4016833115
250	0.4015756798
251	0.4014447594
252	0.4013739967
253	0.4010786533
254	0.4007878971
255	0.4005606604
256	0.4004293633
257	0.4001871252
258	0.3999475479
259	0.3997375298
260	0.3995822191
261	0.3991996956
262	0.3990245962
263	0.3987559032
264	0.3986921167
265	0.398425703
266	0.3983496952
267	0.3982665968
268	0.3981615925
269	0.3978270245
270	0.397647109
271	0.3975650311
272	0.3971562672
273	0.3967922831
274	0.3965858364
275	0.3964563084
276	0.3962478113
277	0.3961463737
278	0.3959910679
279	0.3959132671
280	0.395652442
281	0.3954181194
282	0.3952369213
283	0.3949986649
284	0.3947442293
285	0.394525156
286	0.3942717743
287	0.3942159796
288	0.3938903856
289	0.3937731695
290	0.3936432552
291	0.3935296059
292	0.3933275414
293	0.3930855799
294	0.3928302813
295	0.3925922489
296	0.3923667717
297	0.3922499371
298	0.3921621895
299	0.3920490837
300	0.3919441175
301	0.3916170597
302	0.3914185286
303	0.391171627
304	0.3910424423
305	0.3908061934
306	0.390699873
307	0.3905211735
308	0.3903817081
309	0.3901924849
310	0.3900450039
311	0.3897773075
312	0.389725914
313	0.3896247387
314	0.389464283
315	0.3891475248
316	0.3888057232
317	0.388548317
318	0.3882855988
319	0.3880550003
320	0.3874984455
321	0.3873593998
322	0.3872767019
323	0.3868950462
324	0.386693325
325	0.386509409
326	0.3863341522
327	0.386093111
328	0.3859171963
329	0.3857612324
330	0.3854734802
331	0.3852441359
332	0.3850367928
333	0.3848893166
334	0.3845919514
335	0.3844945049
336	0.3841985416
337	0.3841307449
338	0.38378582
339	0.3836353254
340	0.3833368206
341	0.3829852772
342	0.3828560448
343	0.3826082706
344	0.3824211025
345	0.3820686674
346	0.3818636513
347	0.3817215157
348	0.3815161991
349	0.3811345673
350	0.3809197426
351	0.3806172609
352	0.3804861641
353	0.3803011036
354	0.3800908279
355	0.3799950886
356	0.3797869015
357	0.3795394135
358	0.3793462038
359	0.3791603804
360	0.3788614655
361	0.3787199068
362	0.3784425879
363	0.3782654428
364	0.3781651115
365	0.3779376125
366	0.377761879
367	0.377589221
368	0.377390604
369	0.3771102333
370	0.3770635509
371	0.3768318272
372	0.3766847181
373	0.3763767529
374	0.3762445831
375	0.3760442591
376	0.3759531689
377	0.3757923889
378	0.3754652739
379	0.375381422
380	0.3752117777
381	0.3750909615
382	0.3749735546
383	0.3748129463
384	0.3745613718
385	0.3743589735
386	0.3739871979
387	0.3736916637
388	0.3731925869
389	0.372893219
390	0.3727647161
391	0.3724423313
392	0.3723497581
393	0.3720871782
394	0.3719435978
395	0.371795578
396	0.3715267563
397	0.3712297821
398	0.3710109425
399	0.3706923676
400	0.3705450153
401	0.3704003811
402	0.370206809
403	0.3697905159
404	0.3695927095
405	0.3695051575
406	0.3692631054
407	0.3690962648
408	0.3688738871
409	0.3686478567
410	0.3684644604
411	0.3681865025
412	0.3680646706
413	0.3679391527
414	0.3675721884
415	0.367241416
416	0.367068882
417	0.366858511
418	0.3666909122
419	0.366445117
420	0.3662900066
421	0.3660774231
422	0.3659212399
423	0.3657670593
424	0.3655861568
425	0.3654365778
426	0.3652646542
427	0.3651803446
428	0.3650369167
429	0.3649145174
430	0.3647669888
431	0.3646006489
432	0.3643600655
433	0.3641824102
434	0.3639695883
435	0.3637672806
436	0.3636265087
437	0.3635132408
438	0.3633306456
439	0.3631801319
