iter	Passed	Remaining
0	6	6256
1	11	5973
2	18	6045
3	23	5943
4	29	5849
5	35	5867
6	41	5905
7	47	5887
8	54	5968
9	59	5913
10	65	5874
11	70	5829
12	76	5804
13	82	5789
14	88	5786
15	94	5814
16	97	5648
17	103	5632
18	109	5647
19	113	5577
20	118	5546
21	123	5494
22	128	5469
23	133	5423
24	138	5395
25	143	5365
26	148	5336
27	152	5296
28	156	5238
29	160	5187
30	164	5137
31	168	5088
32	172	5044
33	176	5016
34	180	4972
35	184	4932
36	188	4896
37	191	4849
38	195	4809
39	198	4775
40	202	4732
41	205	4698
42	209	4662
43	212	4624
44	217	4606
45	220	4573
46	224	4542
47	227	4511
48	231	4483
49	233	4445
50	237	4412
51	240	4375
52	242	4340
53	245	4305
54	248	4272
55	251	4243
56	254	4217
57	258	4199
58	262	4182
59	265	4162
60	269	4143
61	272	4121
62	275	4101
63	278	4080
64	282	4060
65	285	4036
66	288	4012
67	290	3987
68	294	3967
69	297	3946
70	299	3924
71	302	3903
72	305	3885
73	310	3879
74	314	3874
75	317	3863
76	321	3854
77	325	3850
78	329	3841
79	332	3823
80	335	3804
81	338	3787
82	341	3774
83	344	3756
84	347	3738
85	350	3722
86	353	3707
87	356	3695
88	359	3679
89	361	3660
90	364	3644
91	367	3630
92	370	3617
93	373	3603
94	376	3589
95	379	3574
96	382	3561
97	385	3546
98	388	3534
99	391	3521
100	394	3508
101	397	3495
102	400	3483
103	403	3473
104	406	3461
105	409	3450
106	411	3437
107	414	3426
108	417	3416
109	420	3404
110	423	3395
111	426	3383
112	429	3372
113	432	3362
114	435	3351
115	438	3340
116	441	3330
117	444	3318
118	447	3310
119	450	3300
120	452	3290
121	455	3280
122	458	3272
123	462	3264
124	465	3255
125	467	3245
126	470	3236
127	473	3227
128	476	3218
129	479	3209
130	482	3201
131	485	3192
132	488	3183
133	491	3176
134	494	3169
135	497	3160
136	500	3151
137	503	3142
138	506	3136
139	509	3128
140	512	3120
141	515	3112
142	517	3104
143	521	3097
144	524	3091
145	527	3083
146	530	3076
147	534	3077
148	538	3073
149	541	3070
150	545	3068
151	548	3060
152	551	3055
153	554	3047
154	557	3040
155	560	3032
156	563	3024
157	566	3018
158	569	3011
159	572	3004
160	575	2997
161	577	2989
162	581	2983
163	583	2976
164	586	2969
165	589	2962
166	592	2955
167	595	2949
168	598	2943
169	601	2937
170	604	2929
171	607	2923
172	610	2918
173	613	2911
174	616	2904
175	618	2897
176	621	2891
177	624	2885
178	627	2879
179	630	2872
180	633	2866
181	636	2860
182	639	2855
183	642	2849
184	645	2843
185	648	2837
186	651	2830
187	654	2825
188	657	2819
189	660	2814
190	662	2807
191	665	2802
192	669	2797
193	671	2791
194	674	2786
195	677	2780
196	680	2774
197	683	2769
198	686	2762
199	689	2756
200	692	2752
201	695	2746
202	698	2741
203	701	2736
204	704	2730
205	706	2724
206	709	2719
207	712	2714
208	715	2708
209	718	2702
210	721	2697
211	724	2691
212	726	2686
213	730	2681
214	732	2676
215	735	2670
216	738	2664
217	741	2659
218	744	2654
219	747	2650
220	750	2644
221	753	2639
222	756	2635
223	760	2634
224	764	2633
225	768	2631
226	772	2629
227	776	2628
228	780	2626
229	783	2622
230	786	2616
231	789	2612
232	791	2606
233	794	2601
234	797	2596
235	800	2591
236	803	2587
237	806	2582
238	809	2577
239	812	2572
240	815	2567
241	818	2563
242	821	2558
243	824	2553
244	827	2548
245	830	2544
246	833	2540
247	836	2535
248	839	2531
249	842	2526
250	844	2521
251	847	2516
252	850	2511
253	853	2507
254	856	2502
255	859	2497
256	862	2492
257	865	2488
258	868	2483
259	871	2479
260	874	2474
261	877	2470
262	880	2466
263	882	2461
264	885	2456
265	888	2452
266	891	2447
267	894	2443
268	897	2438
269	900	2433
270	903	2429
271	906	2425
272	909	2421
273	912	2416
274	914	2411
275	917	2407
276	920	2403
277	923	2398
278	926	2394
279	929	2389
280	931	2384
281	935	2381
282	938	2376
283	940	2372
284	943	2368
285	946	2363
286	950	2360
287	952	2355
288	955	2351
289	958	2347
290	961	2342
291	964	2338
292	967	2334
293	970	2330
294	973	2326
295	976	2322
296	980	2320
297	984	2319
298	988	2317
299	992	2315
300	995	2312
301	999	2310
302	1002	2306
303	1005	2302
304	1008	2298
305	1011	2293
306	1014	2289
307	1017	2285
308	1020	2281
309	1023	2277
310	1026	2273
311	1028	2269
312	1031	2264
313	1034	2259
314	1037	2255
315	1040	2251
316	1043	2247
317	1046	2243
318	1049	2239
319	1051	2235
320	1055	2231
321	1057	2227
322	1060	2223
323	1063	2219
324	1066	2215
325	1069	2212
326	1072	2208
327	1075	2203
328	1078	2199
329	1081	2195
330	1084	2192
331	1087	2188
332	1090	2184
333	1093	2179
334	1096	2176
335	1099	2172
336	1102	2168
337	1105	2164
338	1107	2160
339	1110	2156
340	1114	2153
341	1117	2150
342	1120	2146
343	1123	2142
344	1126	2138
345	1129	2135
346	1132	2130
347	1135	2126
348	1138	2123
349	1141	2119
350	1144	2115
351	1147	2111
352	1149	2107
353	1152	2103
354	1155	2100
355	1158	2096
356	1161	2092
357	1164	2088
358	1167	2085
359	1170	2081
360	1173	2077
361	1176	2073
362	1179	2069
363	1182	2065
364	1185	2061
365	1188	2058
366	1191	2054
367	1194	2050
368	1197	2047
369	1199	2043
370	1203	2040
371	1207	2038
372	1212	2038
373	1216	2036
374	1220	2034
375	1224	2032
376	1228	2030
377	1231	2026
378	1234	2023
379	1237	2019
380	1240	2015
381	1243	2011
382	1246	2008
383	1249	2004
384	1252	2000
385	1255	1996
386	1257	1992
387	1260	1988
388	1263	1985
389	1266	1981
390	1269	1977
391	1272	1974
392	1275	1970
393	1278	1966
394	1281	1963
395	1284	1959
396	1287	1955
397	1290	1951
398	1293	1948
399	1297	1945
400	1300	1941
401	1303	1938
402	1305	1934
403	1309	1931
404	1312	1927
405	1314	1923
406	1317	1920
407	1320	1916
408	1323	1912
409	1326	1908
410	1329	1905
411	1332	1901
412	1335	1897
413	1338	1894
414	1341	1890
415	1344	1886
416	1346	1883
417	1349	1879
418	1353	1876
419	1355	1872
420	1358	1868
421	1361	1865
422	1364	1861
423	1367	1858
424	1370	1854
425	1373	1850
426	1376	1846
427	1379	1843
428	1382	1839
429	1385	1836
430	1388	1832
431	1391	1829
432	1394	1825
433	1397	1822
434	1400	1818
435	1402	1814
436	1405	1811
437	1408	1807
438	1411	1803
439	1414	1800
440	1417	1796
441	1420	1792
442	1423	1789
443	1426	1786
444	1430	1784
445	1433	1781
446	1437	1778
447	1441	1776
448	1445	1774
449	1449	1771
450	1451	1767
451	1454	1763
452	1457	1760
453	1460	1756
454	1463	1752
455	1466	1749
456	1469	1745
457	1472	1742
458	1475	1738
459	1477	1734
460	1481	1731
461	1483	1727
462	1487	1724
463	1490	1721
464	1493	1717
465	1496	1714
466	1498	1710
467	1501	1707
468	1504	1703
469	1507	1700
470	1510	1696
471	1513	1693
472	1516	1690
473	1519	1686
474	1522	1682
475	1525	1679
476	1528	1675
477	1531	1672
478	1534	1669
479	1537	1665
480	1540	1661
481	1543	1658
482	1546	1655
483	1549	1651
484	1552	1648
485	1555	1644
486	1558	1641
487	1561	1638
488	1564	1634
489	1567	1631
490	1570	1627
491	1572	1624
492	1576	1621
493	1579	1617
494	1582	1614
495	1585	1610
496	1588	1607
497	1591	1604
498	1594	1600
499	1596	1596
500	1599	1593
501	1602	1589
502	1605	1586
503	1608	1583
504	1611	1579
505	1614	1576
506	1617	1572
507	1620	1569
508	1623	1566
509	1626	1562
510	1629	1559
511	1632	1555
512	1635	1552
513	1638	1548
514	1640	1545
515	1643	1541
